,Brand,Company name,Country,Continent
0,ACMAT,ACMAT,France,Europe
1,AEC,Associated Equipment Company,UK,Europe
2,AIL,Automotive Industries,Israel,Asia
3,AVM,AVM,Zimbabwe,Africa
4,AWD,Bedford Vehicles,UK,Europe
5,Agrale,Agrale,Brazil,South America
6,Albion,Albion Motors,UK,Europe
7,Alfa Romeo,Alfa Romeo,Italy,Europe
8,American Coleman,American Coleman,,North America
9,American LaFrance,American LaFrance,,North America
10,Amico – Azar Motor Industrial Co,Amico – Azar Motor Industrial Co,Iran,Asia
11,Argyle,Argyle,UK,Europe
12,Armstrong-Saurer,Armstrong-Saurer,UK,Europe
13,Arna – Iran Khodro Diesel,Arna – Iran Khodro Diesel,Iran,Asia
14,Arya – Iran Khodro Diesel,Arya – Iran Khodro Diesel,Iran,Asia
15,Ashok Leyland,Ashok Leyland,India,Asia
16,Asia MotorWorks,Asia MotorWorks,India,Asia
17,Askam,Askam,Turkey,Asia
18,Askam,Askam,Turkey,Europe
19,Astra,Astra (company),Italy,Europe
20,Atkinson,Seddon Atkinson,UK,Europe
21,Austin,Austin Motor Company,UK,Europe
22,Autocar Company,Autocar Company,United States,North America
23,Automiesse,Automiesse,Belgium,Europe
24,Available,Available Motor Company,,North America
25,Avia Trucks,Avia Trucks,Czech Republic,Europe
26,Avtomobilnoe Moskovskoe Obshchestvo,Avtomobilnoe Moskovskoe Obshchestvo,Russia,Europe
27,BMC,BMC,Turkey,Asia
28,BMC,BMC,Turkey,Europe
29,BYD Company,BYD Company,China,Asia
30,Bailey,Bailey Motor Company,,North America
31,Barkas,Barkas,Germany,Europe
32,Baron,Baron,UK,Europe
33,Barreiros,Barreiros,Spain,Europe
34,Bean,Bean,UK,Europe
35,Beardmore,William Beardmore and Company,UK,Europe
36,Bedford,Bedford Vehicles,UK,Europe
37,Beiqi Foton,Beiqi Foton,China,Asia
38,BelAZ,BelAZ,Belarus,Europe
39,Belsize Motors,Belsize Motors,UK,Europe
40,Bering Trucks,Bering Trucks,,North America
41,Berliet,Berliet,France,Europe
42,Berliet-Tramagal,Berliet-Tramagal,Portugal,Europe
43,Berna,Berna,Switzerland,Europe
44,Borgward,Borgward,Germany,Europe
45,Bristol,Bristol Commercial Vehicles,,Europe
46,British Motor Corporation,British Motor Corporation,UK,Europe
47,Brockway,Brockway Motor Company,,North America
48,Brossel,Brossel,Belgium,Europe
49,Brown,Brown Trucking Company,,North America
50,Bruce-SN,Bruce-SN,UK,Europe
51,Bucegi,Bucegi,Romania,Europe
52,Büssing,Büssing,Germany,Europe
53,Caledon,Caledon,UK,Europe
54,Canada,Canadian Car Corporation,Canada,North America
55,Carmichael,Amdac Carmichael,UK,Europe
56,Caterpillar Trucks,Caterpillar Inc,Navistar International,Oceania
57,Chavdar,Chavdar (company),Bulgaria,Europe
58,Chenard-Walcker,Chenard-Walcker,France,Europe
59,Chery,Chery,China,Asia
60,Chevrolet,Chevrolet,,North America
61,Chingkangshan,Chingkangshan,China,Asia
62,Citroën,Citroën,France,Europe
63,Cline,Cline,,North America
64,Colet,Colet Trucks,,North America
65,Commer,Commer,UK,Europe
66,Corbitt,Corbitt (automobile company),,North America
67,Crane Carrier Corporation,Crane Carrier Corporation,United States,North America
68,Crossley,Crossley,UK,Europe
69,Csepel,Csepel (automobile),Hungary,Europe
70,DAC Trucks,DAC Trucks,Romania,Europe
71,DAF Trucks,DAF Trucks,Australia,Oceania
72,DAF Trucks,DAF Trucks,Netherlands division of,Europe
73,Daewoo,Daewoo,Korea,Asia
74,Daihatsu,Daihatsu,Japan – 51% owned by,Asia
75,Daimler AG,Daimler AG,Germany,Europe
76,Daimler India,Daimler India Commercial Vehicles,BharatBenz,Asia
77,Dand – Azar Etesal,Dand – Azar Etesal,Iran,Asia
78,Dart,Dart Trucks Company,United States,North America
79,De Dion-Bouton,De Dion-Bouton,France,Europe
80,DeSoto,DeSoto (automobile),,North America
81,Delahaye,Delahaye,France,Europe
82,Dennis,Dennis Specialist Vehicles,,Europe
83,Dennis Eagle,Dennis Eagle,UK,Europe
84,Dennis-Mann Egerton,Dennis-Mann Egerton,UK,Europe
85,Dennison,Dennison Limited,Ireland,Europe
86,Diamond T,Diamond T,,North America
87,Dina,DINA S.A.,Mexico,North America
88,Dodge,Dodge,,North America
89,Dodge,Dodge,UK,Europe
90,Dodge,Dodge,United States,Asia
91,Dongfeng Motor Corporation,Dongfeng Motor Corporation,China –,Asia
92,Douglas,Douglas,UK,Europe
93,E-One,E-One,,North America
94,ELM Trucking,ELM Trucking,Germany,Europe
95,ELVO,ELVO,Greece,Europe
96,ERF,ERF,UK,Europe
97,Ebro,Ebro trucks,Spain,Europe
98,Eicher Motors,Eicher Motors,India,Asia
99,FAP,Fabrika automobila Priboj,Serbia,Europe
100,FAR Trucks,FAR Trucks,France,Europe
101,FAW,FAW Group,China,Asia
102,FBW,Franz Brozincevic Wetzikon,Switzerland,Europe
103,FTF Trucks,FTF Trucks,Netherlands,Europe
104,FWD Auto Company,FWD Auto Company,,North America
105,Fageol,Fageol,United States,North America
106,Fargo,Fargo Trucks,Turkey,Asia
107,Federal,Federal Motor Truck Company,,North America
108,Fiat,Fiat,Italy,Europe
109,Flextruc,Flextruc,Canada,North America
110,Foden,Edwin Foden Sons & Co,UK,Europe
111,Force Motors,Force Motors,India,Asia
112,Ford,Ford of Britain,UK,Europe
113,Ford,Ford,,North America
114,Ford,Ford Germany,Germany,Europe
115,Fowler,John Fowler & Co,UK,Europe
116,Freeman,Freeman,,North America
117,Freightliner Trucks,Freightliner Trucks,Australia,Oceania
118,Freightliner Trucks,Freightliner Trucks,,North America
119,GA,Ganja Auto Plant,Azerbaijan,Asia
120,GA,Ganja Auto Plant,Azerbaijan,Europe
121,GMC,General Motors,,North America
122,GV,General Vehicle Company,UK,Europe
123,Garner,Garner,UK,Europe
124,Garrett,Richard Garrett & Sons,UK,Europe
125,Gaz,GAZ,Russia,Europe
126,General Motors Canada,General Motors Canada,,North America
127,General Vehicle,VE (automobile company),United States,North America
128,Genoto,Genoto,Turkey,Asia
129,Gersix,Gersix,United States,North America
130,Ghandhara Industries,Ghandhara Industries,Pakistan,Asia
131,Gilford,Gilford Motors,UK,Europe
132,Ginaf,Ginaf,Netherlands,Europe
133,Gotfredson,Gotfredson,,North America
134,Greenkraft Inc,Greenkraft Inc,,North America
135,Grube,Grube,Germany,Europe
136,Gräf & Stift,Gräf & Stift,Austria,Europe
137,Guy,Guy Motors,UK,Europe
138,HEPCO,HEPCO,Iran,Asia
139,HHT,HHT,UK,Europe
140,HSG,HSG,UK,Europe
141,Halley,Halley,UK,Europe
142,Hallford,Hallford,UK,Europe
143,Hanomag,Hanomag,Germany,Europe
144,Hardy,Hardy,UK,Europe
145,Haulamatic,Haulamatic,UK,Europe
146,Hayes Truck,Hayes Truck,,North America
147,Hendrickson,Hendrickson,,North America
148,Henschel,Henschel,Germany,Europe
